datetime,DXY open,DXY high,DXY low,DXY close
2024-01-18 21:00:00+00:00,103.459,103.463,103.386,103.4
2024-01-18 22:00:00+00:00,103.4,103.429,103.396,103.415
2024-01-19 13:00:00+00:00,103.374,103.429,103.299,103.399
2024-01-19 14:00:00+00:00,103.398,103.546,103.368,103.425
2024-01-19 15:00:00+00:00,103.424,103.519,103.331,103.372
2024-01-19 16:00:00+00:00,103.371,103.411,103.342,103.366
2024-01-19 17:00:00+00:00,103.367,103.417,103.298,103.322
2024-01-19 18:00:00+00:00,103.321,103.361,103.283,103.32
2024-01-19 19:00:00+00:00,103.319,103.335,103.271,103.288
2024-01-19 20:00:00+00:00,103.288,103.298,103.252,103.257
2024-01-19 21:00:00+00:00,103.257,103.258,103.236,103.239
2024-01-22 13:00:00+00:00,103.185,103.289,103.159,103.187
2024-01-22 14:00:00+00:00,103.187,103.276,103.183,103.223
2024-01-22 15:00:00+00:00,103.223,103.289,103.149,103.268
2024-01-22 16:00:00+00:00,103.268,103.308,103.224,103.229
